DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
2021.08.10,11:45:00,120630,120750,120620,120720,170,124440,10,2021-08-10 11:45:00
2021.08.10,11:50:00,120720,121000,120720,120820,278,182256,10,2021-08-10 11:50:00
2021.08.10,11:55:00,120820,121010,120820,120900,202,103596,10,2021-08-10 11:55:00
2021.08.10,12:00:00,120900,120990,120890,120910,110,31061,10,2021-08-10 12:00:00
2021.08.10,12:05:00,120920,121000,120870,121000,226,111144,10,2021-08-10 12:05:00
2021.08.10,12:10:00,120950,121000,120890,120890,215,193415,10,2021-08-10 12:10:00
2021.08.10,12:15:00,120890,120990,120610,120720,245,144850,10,2021-08-10 12:15:00
2021.08.10,12:20:00,120720,120980,120720,120800,188,94917,10,2021-08-10 12:20:00
2021.08.10,12:25:00,120780,120800,120720,120790,406,296238,0,2021-08-10 12:25:00
2021.08.11,09:00:00,121000,121800,121000,121500,272,209159,0,2021-08-11 09:00:00
2021.08.11,09:05:00,121500,122480,121100,122300,689,475364,10,2021-08-11 09:05:00
2021.08.11,09:10:00,122300,123000,122210,122600,1201,962229,10,2021-08-11 09:10:00
2021.08.11,09:15:00,122600,122900,122440,122530,638,499968,10,2021-08-11 09:15:00
2021.08.11,09:20:00,122530,122710,122530,122700,504,280717,10,2021-08-11 09:20:00
2021.08.11,09:25:00,122700,122710,122220,122290,479,467200,10,2021-08-11 09:25:00
2021.08.11,09:30:00,122200,122300,122000,122250,397,167464,10,2021-08-11 09:30:00
2021.08.11,09:35:00,122250,122440,122240,122280,433,232002,10,2021-08-11 09:35:00
2021.08.11,09:40:00,122270,122280,121400,121470,535,468045,10,2021-08-11 09:40:00
2021.08.11,09:45:00,121470,121810,121470,121630,314,219429,10,2021-08-11 09:45:00
2021.08.11,09:50:00,121630,121630,121420,121430,415,228953,10,2021-08-11 09:50:00
2021.08.11,09:55:00,121440,121520,121440,121510,289,95241,10,2021-08-11 09:55:00
2021.08.11,10:00:00,121510,121600,121270,121320,411,134130,10,2021-08-11 10:00:00
2021.08.11,10:05:00,121280,121280,121000,121000,576,332027,10,2021-08-11 10:05:00
2021.08.11,10:10:00,121030,121140,121000,121010,330,173433,10,2021-08-11 10:10:00
2021.08.11,10:15:00,121010,121050,120790,120790,402,212779,10,2021-08-11 10:15:00
2021.08.11,10:20:00,120790,121040,120720,121000,341,156676,10,2021-08-11 10:20:00
2021.08.11,10:25:00,121000,121000,120840,120840,254,98866,10,2021-08-11 10:25:00
2021.08.11,10:30:00,120840,120860,120790,120830,305,145082,10,2021-08-11 10:30:00
2021.08.11,10:35:00,120840,121030,120830,121000,300,131852,10,2021-08-11 10:35:00
2021.08.11,10:40:00,121000,121010,120800,120870,202,56938,10,2021-08-11 10:40:00
2021.08.11,10:45:00,120870,120950,120850,120900,172,69307,10,2021-08-11 10:45:00
2021.08.11,10:50:00,120900,120960,120900,120950,205,53419,10,2021-08-11 10:50:00
2021.08.11,10:55:00,120960,120970,120910,120910,199,46050,10,2021-08-11 10:55:00
2021.08.11,11:00:00,120920,121000,120910,120990,253,116278,10,2021-08-11 11:00:00
2021.08.11,11:05:00,120980,121030,120950,121000,253,148159,10,2021-08-11 11:05:00
2021.08.11,11:10:00,121000,121060,121000,121030,236,142855,10,2021-08-11 11:10:00
2021.08.11,11:15:00,121030,121090,121000,121030,208,81609,10,2021-08-11 11:15:00
2021.08.11,11:20:00,121020,121050,120920,120950,246,120532,10,2021-08-11 11:20:00
2021.08.11,11:25:00,120950,121500,120930,121500,365,199536,10,2021-08-11 11:25:00
2021.08.11,11:30:00,121490,121530,121400,121440,355,235106,10,2021-08-11 11:30:00
2021.08.11,11:35:00,121440,121850,121440,121750,418,338213,10,2021-08-11 11:35:00
2021.08.11,11:40:00,121770,122500,121770,122110,854,742370,10,2021-08-11 11:40:00
2021.08.11,11:45:00,122100,122200,121950,122110,422,225155,10,2021-08-11 11:45:00
2021.08.11,11:50:00,122120,122810,122110,122700,982,806033,10,2021-08-11 11:50:00
2021.08.11,11:55:00,122650,122800,122400,122600,519,454136,10,2021-08-11 11:55:00
2021.08.11,12:00:00,122600,122750,122500,122600,453,337258,10,2021-08-11 12:00:00
2021.08.11,12:05:00,122600,122800,122560,122750,463,400374,10,2021-08-11 12:05:00
2021.08.11,12:10:00,122760,122780,122600,122640,460,387793,10,2021-08-11 12:10:00
2021.08.11,12:15:00,122640,122800,122540,122760,611,555004,10,2021-08-11 12:15:00
2021.08.11,12:20:00,122770,122800,122620,122650,402,163338,10,2021-08-11 12:20:00
2021.08.11,12:25:00,122640,122740,122580,122680,745,567295,0,2021-08-11 12:25:00
2021.08.14,09:00:00,123600,125980,123600,125890,1046,1039187,10,2021-08-14 09:00:00
2021.08.14,09:05:00,125900,126000,124500,125000,1373,1270691,10,2021-08-14 09:05:00
2021.08.14,09:10:00,125000,125400,124850,124860,977,767985,10,2021-08-14 09:10:00
2021.08.14,09:15:00,125000,125240,124550,124550,762,698217,10,2021-08-14 09:15:00
2021.08.14,09:20:00,124520,124520,123960,124190,821,881109,10,2021-08-14 09:20:00
2021.08.14,09:25:00,124100,124200,123940,124140,629,949525,10,2021-08-14 09:25:00
2021.08.14,09:30:00,124150,124150,123910,123950,505,317324,10,2021-08-14 09:30:00
2021.08.14,09:35:00,123920,123990,123610,123690,531,304193,10,2021-08-14 09:35:00
2021.08.14,09:40:00,123690,123710,123200,123220,593,345118,10,2021-08-14 09:40:00
2021.08.14,09:45:00,123220,123250,122510,122520,645,557940,10,2021-08-14 09:45:00
2021.08.14,09:50:00,122510,123100,122510,123000,451,340105,10,2021-08-14 09:50:00
2021.08.14,09:55:00,123100,123240,122000,122200,558,436431,10,2021-08-14 09:55:00
2021.08.14,10:00:00,122200,122480,121900,122440,417,286958,10,2021-08-14 10:00:00
2021.08.14,10:05:00,122300,122460,122290,122370,227,111330,10,2021-08-14 10:05:00
2021.08.14,10:10:00,122380,122440,122380,122430,257,116606,10,2021-08-14 10:10:00
2021.08.14,10:15:00,122430,122710,122430,122710,290,161830,10,2021-08-14 10:15:00
2021.08.14,10:20:00,122740,123000,122740,122800,297,262683,10,2021-08-14 10:20:00
2021.08.14,10:25:00,122800,123000,122800,122900,242,174554,10,2021-08-14 10:25:00
2021.08.14,10:30:00,122900,123100,122890,122990,320,420795,10,2021-08-14 10:30:00
2021.08.14,10:35:00,123000,123460,122990,123460,300,258920,10,2021-08-14 10:35:00
2021.08.14,10:40:00,123470,123500,123310,123350,313,248839,10,2021-08-14 10:40:00
2021.08.14,10:45:00,123330,123500,123310,123390,319,258854,10,2021-08-14 10:45:00
2021.08.14,10:50:00,123350,123790,123350,123720,414,392902,10,2021-08-14 10:50:00
2021.08.14,10:55:00,123720,123890,123310,123360,336,297253,10,2021-08-14 10:55:00
2021.08.14,11:00:00,123370,123580,123350,123510,241,111024,10,2021-08-14 11:00:00
2021.08.14,11:05:00,123500,123510,123150,123190,265,168759,10,2021-08-14 11:05:00
2021.08.14,11:10:00,123150,123370,123130,123370,220,105349,10,2021-08-14 11:10:00
2021.08.14,11:15:00,123380,123490,123290,123480,231,124490,10,2021-08-14 11:15:00
2021.08.14,11:20:00,123480,123650,123360,123510,263,201204,10,2021-08-14 11:20:00
2021.08.14,11:25:00,123510,123800,123510,123720,229,147986,10,2021-08-14 11:25:00
2021.08.14,11:30:00,123650,123750,123600,123680,184,115011,10,2021-08-14 11:30:00
2021.08.14,11:35:00,123680,123700,123450,123540,259,187500,10,2021-08-14 11:35:00
2021.08.14,11:40:00,123500,123540,123450,123470,139,149516,10,2021-08-14 11:40:00
2021.08.14,11:45:00,123470,123550,123430,123450,232,170573,10,2021-08-14 11:45:00
2021.08.14,11:50:00,123450,123520,123430,123430,186,136830,10,2021-08-14 11:50:00
2021.08.14,11:55:00,123440,123530,123440,123500,217,112591,10,2021-08-14 11:55:00
2021.08.14,12:00:00,123500,123500,123360,123370,212,205683,10,2021-08-14 12:00:00
2021.08.14,12:05:00,123370,123400,123300,123350,219,136495,10,2021-08-14 12:05:00
2021.08.14,12:10:00,123350,124000,123330,123980,736,549397,10,2021-08-14 12:10:00
2021.08.14,12:15:00,123980,124140,123970,124010,595,473386,10,2021-08-14 12:15:00
2021.08.14,12:20:00,124020,124100,123900,123920,519,482899,10,2021-08-14 12:20:00
2021.08.14,12:25:00,123950,123970,123420,123520,556,469122,0,2021-08-14 12:25:00
2021.08.15,09:00:00,123420,123420,122200,122300,204,145971,0,2021-08-15 09:00:00
2021.08.15,09:05:00,122300,122890,121650,122880,550,433171,10,2021-08-15 09:05:00
2021.08.15,09:10:00,122850,122880,122250,122250,348,191319,10,2021-08-15 09:10:00
2021.08.15,09:15:00,122290,122310,121980,122100,360,195410,10,2021-08-15 09:15:00
2021.08.15,09:20:00,122100,122440,122040,122330,295,220133,10,2021-08-15 09:20:00
2021.08.15,09:25:00,122390,122510,122300,122300,305,224893,10,2021-08-15 09:25:00
2021.08.15,09:30:00,122300,122330,122130,122160,317,177748,10,2021-08-15 09:30:00
2021.08.15,09:35:00,122160,122470,122150,122460,255,163593,10,2021-08-15 09:35:00
2021.08.15,09:40:00,122460,122980,122430,122810,344,238654,10,2021-08-15 09:40:00
2021.08.15,09:45:00,122850,122990,122700,122860,294,163092,10,2021-08-15 09:45:00
2021.08.15,09:50:00,122930,123000,122850,122960,288,257335,10,2021-08-15 09:50:00
2021.08.15,09:55:00,122970,123450,122950,123180,432,394939,10,2021-08-15 09:55:00
2021.08.15,10:00:00,123150,123240,123100,123150,328,270032,10,2021-08-15 10:00:00
2021.08.15,10:05:00,123120,123230,123110,123190,349,508059,10,2021-08-15 10:05:00
2021.08.15,10:10:00,123200,123230,123150,123210,294,221288,10,2021-08-15 10:10:00
2021.08.15,10:15:00,123220,123290,123180,123270,304,167417,10,2021-08-15 10:15:00
2021.08.15,10:20:00,123290,123880,123240,123880,516,603354,10,2021-08-15 10:20:00
2021.08.15,10:25:00,123880,123880,123410,123420,346,294579,10,2021-08-15 10:25:00
2021.08.15,10:30:00,123420,123450,123240,123380,276,139074,10,2021-08-15 10:30:00
2021.08.15,10:35:00,123380,123380,122990,123080,385,413829,10,2021-08-15 10:35:00
2021.08.15,10:40:00,123090,123240,123070,123180,224,171000,10,2021-08-15 10:40:00
2021.08.15,10:45:00,123180,123390,123120,123330,217,87017,10,2021-08-15 10:45:00
2021.08.15,10:50:00,123340,123340,123120,123120,250,137543,10,2021-08-15 10:50:00
2021.08.15,10:55:00,123110,123120,123000,123020,366,290169,10,2021-08-15 10:55:00
2021.08.15,11:00:00,123010,123100,123010,123050,243,110582,10,2021-08-15 11:00:00
2021.08.15,11:05:00,123040,123050,123000,123000,320,165078,10,2021-08-15 11:05:00
2021.08.15,11:10:00,123000,123010,122850,122870,295,140754,10,2021-08-15 11:10:00
2021.08.15,11:15:00,122860,122910,122860,122880,226,117173,10,2021-08-15 11:15:00
2021.08.15,11:20:00,122880,122900,122800,122830,286,95389,10,2021-08-15 11:20:00
2021.08.15,11:25:00,122810,122940,122810,122910,202,69240,10,2021-08-15 11:25:00
2021.08.15,11:30:00,122920,122940,122900,122900,221,106073,10,2021-08-15 11:30:00
2021.08.15,11:35:00,122900,122940,122860,122940,232,177848,10,2021-08-15 11:35:00
2021.08.15,11:40:00,122950,123500,122950,123100,397,247806,10,2021-08-15 11:40:00
2021.08.15,11:45:00,123200,124510,123200,124320,974,993503,10,2021-08-15 11:45:00
2021.08.15,11:50:00,124320,124320,123550,123850,627,524296,10,2021-08-15 11:50:00
2021.08.15,11:55:00,123850,124300,123850,124200,535,450059,10,2021-08-15 11:55:00
2021.08.15,12:00:00,124200,124250,123850,124070,406,288485,10,2021-08-15 12:00:00
2021.08.15,12:05:00,124070,124150,123960,124030,487,468884,10,2021-08-15 12:05:00
2021.08.15,12:10:00,124090,124120,123960,124110,486,456717,10,2021-08-15 12:10:00
2021.08.15,12:15:00,124110,124170,124070,124160,499,286880,10,2021-08-15 12:15:00
2021.08.15,12:20:00,124170,124200,124050,124050,606,345579,10,2021-08-15 12:20:00
2021.08.15,12:25:00,124050,124150,124010,124120,771,753275,0,2021-08-15 12:25:00
2021.08.22,09:00:00,125400,127900,125400,127900,998,1315007,10,2021-08-22 09:00:00
2021.08.22,09:05:00,127900,128830,126800,128210,1731,1933546,10,2021-08-22 09:05:00
2021.08.22,09:10:00,128400,130800,128000,130000,2089,1768394,10,2021-08-22 09:10:00
2021.08.22,09:15:00,130000,133470,129800,133000,2348,1788247,10,2021-08-22 09:15:00
2021.08.22,09:20:00,133000,133500,131620,133480,2054,1714429,10,2021-08-22 09:20:00
2021.08.22,09:25:00,133500,133780,132070,133000,1461,1171653,10,2021-08-22 09:25:00
2021.08.22,09:30:00,133000,133000,132050,132940,1049,867861,10,2021-08-22 09:30:00
2021.08.22,09:35:00,132910,133080,132500,132980,1120,927793,10,2021-08-22 09:35:00
2021.08.22,09:40:00,132990,133160,132920,133140,802,501298,10,2021-08-22 09:40:00
2021.08.22,09:45:00,133140,133900,133130,133490,1227,858340,10,2021-08-22 09:45:00
2021.08.22,09:50:00,133490,133700,133100,133110,957,660948,10,2021-08-22 09:50:00
2021.08.22,09:55:00,133100,133130,132870,132900,897,555155,10,2021-08-22 09:55:00
2021.08.22,10:00:00,132930,133320,132170,133000,950,788818,10,2021-08-22 10:00:00
2021.08.22,10:05:00,133180,133700,132990,133450,749,689960,10,2021-08-22 10:05:00
2021.08.22,10:10:00,133450,133900,133100,133800,859,740177,10,2021-08-22 10:10:00
2021.08.22,10:15:00,133800,133800,133130,133500,564,335421,10,2021-08-22 10:15:00
2021.08.22,10:20:00,133500,133500,132900,133000,657,512654,10,2021-08-22 10:20:00
2021.08.22,10:25:00,133000,133000,132420,132820,592,372484,10,2021-08-22 10:25:00
2021.08.22,10:30:00,132860,132860,132620,132770,449,255272,10,2021-08-22 10:30:00
2021.08.22,10:35:00,132750,132950,132750,132860,482,408245,10,2021-08-22 10:35:00
2021.08.22,10:40:00,132860,133150,132850,133110,489,507040,10,2021-08-22 10:40:00
2021.08.22,10:45:00,133110,133200,133000,133000,528,356798,10,2021-08-22 10:45:00
2021.08.22,10:50:00,132920,133200,132910,133060,492,462835,10,2021-08-22 10:50:00
2021.08.22,10:55:00,133090,133140,133030,133080,465,324802,10,2021-08-22 10:55:00
2021.08.22,11:00:00,133080,133110,132950,132950,516,886620,10,2021-08-22 11:00:00
2021.08.22,11:05:00,132950,133000,132450,132600,705,822982,10,2021-08-22 11:05:00
2021.08.22,11:10:00,132550,132580,132120,132130,663,560630,10,2021-08-22 11:10:00
2021.08.22,11:15:00,132130,132790,132000,132620,701,581497,10,2021-08-22 11:15:00
2021.08.22,11:20:00,132620,132700,132430,132520,322,204299,10,2021-08-22 11:20:00
2021.08.22,11:25:00,132530,132530,132110,132300,297,229500,10,2021-08-22 11:25:00
2021.08.22,11:30:00,132260,132290,131990,132140,540,469244,10,2021-08-22 11:30:00
2021.08.22,11:35:00,132140,132400,132130,132400,303,175670,10,2021-08-22 11:35:00
2021.08.22,11:40:00,132400,132500,132390,132500,296,188811,10,2021-08-22 11:40:00
2021.08.22,11:45:00,132500,132500,132420,132450,248,81443,10,2021-08-22 11:45:00
2021.08.22,11:50:00,132480,132860,132480,132860,428,247522,10,2021-08-22 11:50:00
2021.08.22,11:55:00,132870,133030,132850,132980,540,419952,10,2021-08-22 11:55:00
2021.08.22,12:00:00,132980,133050,132840,132990,388,243376,10,2021-08-22 12:00:00
2021.08.22,12:05:00,132990,133200,132980,133200,499,337167,10,2021-08-22 12:05:00
2021.08.22,12:10:00,133200,133900,133190,133510,839,562778,10,2021-08-22 12:10:00
2021.08.22,12:15:00,133500,135200,133500,135100,1722,1309428,10,2021-08-22 12:15:00
2021.08.22,12:20:00,135150,135710,135150,135710,3081,2128949,10,2021-08-22 12:20:00
2021.08.22,12:25:00,135710,135710,135710,135710,295,364378,0,2021-08-22 12:25:00
2021.08.23,09:00:00,138120,138120,135720,136220,1406,1639152,0,2021-08-23 09:00:00
2021.08.23,09:05:00,136220,138800,135600,137800,2172,1741010,10,2021-08-23 09:05:00
2021.08.23,09:10:00,137800,137800,135470,135500,1653,1336431,10,2021-08-23 09:10:00
2021.08.23,09:15:00,135470,136000,134290,134600,1457,1129003,10,2021-08-23 09:15:00
2021.08.23,09:20:00,134600,135890,134600,135420,1108,823955,10,2021-08-23 09:20:00
2021.08.23,09:25:00,135490,137530,135420,137500,1132,746011,10,2021-08-23 09:25:00
2021.08.23,09:30:00,137530,138100,136910,137500,1569,1718791,10,2021-08-23 09:30:00
2021.08.23,09:35:00,137500,138600,137310,138600,1000,740703,10,2021-08-23 09:35:00
2021.08.23,09:40:00,138600,141900,138600,141800,2223,1669428,10,2021-08-23 09:40:00
2021.08.23,09:45:00,141800,142000,140400,140600,1464,1104202,10,2021-08-23 09:45:00
2021.08.23,09:50:00,140550,140620,139800,140100,903,604865,10,2021-08-23 09:50:00
2021.08.23,09:55:00,140100,140300,139800,139830,888,448443,10,2021-08-23 09:55:00
2021.08.23,10:00:00,139840,140130,139100,139880,696,329751,10,2021-08-23 10:00:00
2021.08.23,10:05:00,139900,139950,139390,139800,532,351488,10,2021-08-23 10:05:00
2021.08.23,10:10:00,139870,140200,139870,140000,694,446193,10,2021-08-23 10:10:00
2021.08.23,10:15:00,140060,140100,139350,139800,573,367723,10,2021-08-23 10:15:00
2021.08.23,10:20:00,139370,139780,139360,139570,460,209758,10,2021-08-23 10:20:00
2021.08.23,10:25:00,139570,139700,138270,138490,808,537537,10,2021-08-23 10:25:00
2021.08.23,10:30:00,138490,139500,138200,139200,668,456313,10,2021-08-23 10:30:00
2021.08.23,10:35:00,139200,139400,138980,139400,457,261830,10,2021-08-23 10:35:00
2021.08.23,10:40:00,139400,139800,139400,139800,388,133361,10,2021-08-23 10:40:00
2021.08.23,10:45:00,139800,140000,139780,139790,483,255012,10,2021-08-23 10:45:00
2021.08.23,10:50:00,139790,139800,138680,138800,586,417614,10,2021-08-23 10:50:00
2021.08.23,10:55:00,138700,138910,138700,138730,356,233119,10,2021-08-23 10:55:00
2021.08.23,11:00:00,138740,138900,138630,138630,484,361748,10,2021-08-23 11:00:00
2021.08.23,11:05:00,138630,138900,138610,138670,385,235765,10,2021-08-23 11:05:00
2021.08.23,11:10:00,138670,138880,138670,138830,325,140569,10,2021-08-23 11:10:00
2021.08.23,11:15:00,138810,138830,138310,138350,447,326791,10,2021-08-23 11:15:00
2021.08.23,11:20:00,138400,138400,137780,137780,662,284724,10,2021-08-23 11:20:00
2021.08.23,11:25:00,137780,137800,137120,137590,696,382540,10,2021-08-23 11:25:00
2021.08.23,11:30:00,137590,139000,137510,139000,496,206037,10,2021-08-23 11:30:00
2021.08.23,11:35:00,139000,140490,138990,139800,887,673837,10,2021-08-23 11:35:00
2021.08.23,11:40:00,139800,139880,139000,139200,459,274812,10,2021-08-23 11:40:00
2021.08.23,11:45:00,139200,139400,139100,139170,311,165325,10,2021-08-23 11:45:00
2021.08.23,11:50:00,139190,139750,139190,139600,308,192571,10,2021-08-23 11:50:00
2021.08.23,11:55:00,139700,139870,139480,139500,432,244755,10,2021-08-23 11:55:00
2021.08.23,12:00:00,139500,139650,138490,138520,520,343521,10,2021-08-23 12:00:00
2021.08.23,12:05:00,138520,138620,138490,138580,426,226434,10,2021-08-23 12:05:00
2021.08.23,12:10:00,138580,138610,137800,137800,553,368400,10,2021-08-23 12:10:00
2021.08.23,12:15:00,137790,138450,137400,138080,702,360614,10,2021-08-23 12:15:00
2021.08.23,12:20:00,138050,138190,137600,137600,617,346165,10,2021-08-23 12:20:00
2021.08.23,12:25:00,137590,137890,137450,137850,886,626522,0,2021-08-23 12:25:00
2021.08.24,09:00:00,138210,139980,138210,139400,563,468143,10,2021-08-24 09:00:00
2021.08.24,09:05:00,139400,141990,139400,140900,1255,1129865,10,2021-08-24 09:05:00
2021.08.24,09:10:00,140900,142900,140400,142600,1293,1149749,10,2021-08-24 09:10:00
2021.08.24,09:15:00,142530,142800,141800,142300,966,524618,10,2021-08-24 09:15:00
2021.08.24,09:20:00,142200,142950,142200,142790,925,619892,10,2021-08-24 09:20:00
2021.08.24,09:25:00,142770,143780,142750,143200,1092,836250,10,2021-08-24 09:25:00
2021.08.24,09:30:00,143200,144900,143200,144670,1128,747025,10,2021-08-24 09:30:00
2021.08.24,09:35:00,144670,144850,143990,144500,998,857165,10,2021-08-24 09:35:00
2021.08.24,09:40:00,144500,144650,143900,144000,819,698077,10,2021-08-24 09:40:00
2021.08.24,09:45:00,144000,144200,143700,144000,704,716056,10,2021-08-24 09:45:00
2021.08.24,09:50:00,144100,144500,143810,144020,729,512331,10,2021-08-24 09:50:00
2021.08.24,09:55:00,144020,144850,144020,144510,711,502679,10,2021-08-24 09:55:00
2021.08.24,10:00:00,144510,146880,144500,146800,1528,1222543,10,2021-08-24 10:00:00
2021.08.24,10:05:00,146800,149000,146800,148530,1966,1787091,10,2021-08-24 10:05:00
2021.08.24,10:10:00,148530,148950,147200,147780,1193,892194,10,2021-08-24 10:10:00
2021.08.24,10:15:00,147780,148780,147780,147960,1034,689405,10,2021-08-24 10:15:00
2021.08.24,10:20:00,147960,148380,147910,148370,725,583502,10,2021-08-24 10:20:00
